Date;Type;Value
01/05/2021;Twitter;186275
01/06/2021;Twitter;400244
01/07/2021;Twitter;287228
01/08/2021;Twitter;197073
01/09/2021;Twitter;220105
01/10/2021;Twitter;214533
01/11/2021;Twitter;216132
01/12/2021;Twitter;262389
01/01/2022;Twitter;165970
01/02/2022;Twitter;159647
01/03/2022;Twitter;343789
01/04/2022;Twitter;238867
01/05/2022;Twitter;47723
01/05/2021;News;112753
01/06/2021;News;162012
01/07/2021;News;161972
01/08/2021;News;116009
01/09/2021;News;97449
01/10/2021;News;70265
01/11/2021;News;79609
01/12/2021;News;97485
01/01/2022;News;111274
01/02/2022;News;89031
01/03/2022;News;59496
01/04/2022;News;56767
01/05/2022;News;14905
01/05/2021;Facebook;107014
01/06/2021;Facebook;145581
01/07/2021;Facebook;133343
01/08/2021;Facebook;98436
01/09/2021;Facebook;93961
01/10/2021;Facebook;85285
01/11/2021;Facebook;84631
01/12/2021;Facebook;116602
01/01/2022;Facebook;110201
01/02/2022;Facebook;74147
01/03/2022;Facebook;38602
01/04/2022;Facebook;10846
01/05/2022;Facebook;2093
01/05/2021;Instagram;5488
01/06/2021;Instagram;7103
01/07/2021;Instagram;6386
01/08/2021;Instagram;5544
01/09/2021;Instagram;5465
01/10/2021;Instagram;3571
01/11/2021;Instagram;3527
01/12/2021;Instagram;4963
01/01/2022;Instagram;4452
01/02/2022;Instagram;3247
01/03/2022;Instagram;2030
01/04/2022;Instagram;699
01/05/2022;Instagram;166
01/05/2021;Blog;5231
01/06/2021;Blog;6904
01/07/2021;Blog;6144
01/08/2021;Blog;4211
01/09/2021;Blog;4211
01/10/2021;Blog;3145
01/11/2021;Blog;3300
01/12/2021;Blog;3694
01/01/2022;Blog;4249
01/02/2022;Blog;3650
01/03/2022;Blog;2554
01/04/2022;Blog;2020
01/05/2022;Blog;679
01/05/2021;Forums;601
01/06/2021;Forums;925
01/07/2021;Forums;69
01/08/2021;Forums;76
01/09/2021;Forums;118
01/10/2021;Forums;70
01/11/2021;Forums;48
01/12/2021;Forums;18
01/01/2022;Forums;34
01/02/2022;Forums;26
01/03/2022;Forums;59
01/04/2022;Forums;143
01/05/2022;Forums;50
01/05/2021;Web;450
01/06/2021;Web;140
01/07/2021;Web;19
01/08/2021;Web;3
01/09/2021;Web;10
01/10/2021;Web;2
01/11/2021;Web;6
01/12/2021;Web;4
01/01/2022;Web;3
01/02/2022;Web;1
01/03/2022;Web;4
01/04/2022;Web;2
01/05/2022;Web;3
01/05/2021;Video;5
01/06/2021;Video;11
01/07/2021;Video;6
01/08/2021;Video;3
01/09/2021;Video;11
01/10/2021;Video;17
01/11/2021;Video;23
01/12/2021;Video;18
01/01/2022;Video;11
01/02/2022;Video;21
01/03/2022;Video;35
01/04/2022;Video;208
01/05/2022;Video;73
01/05/2021;Reviews;1
01/06/2021;Reviews;1
01/07/2021;Reviews;0
01/08/2021;Reviews;1
01/09/2021;Reviews;0
01/10/2021;Reviews;0
01/11/2021;Reviews;0
01/12/2021;Reviews;0
01/01/2022;Reviews;0
01/02/2022;Reviews;0
01/03/2022;Reviews;0
01/04/2022;Reviews;0
01/05/2022;Reviews;0
