Nickname;Interactions;Followers
@jatirado;3103;79489
@Consalud_es;7947;139566
@jatirado_oc;11372;5670
@Manzorro_LuisR;32164;5121
@redaccionmedica;3706;91732
@DiarioSUR;4388;275247
@EFEnoticias;43300;2054627
@La_Cerca;263;18473
@el_pais;347129;8546577
@ituerahipster;45844;3857
@caos3_0;4011;8410
@canarias7;4765;112185
@abcdesevilla;5893;227148
@LaPorres;75;9365
@la_resistensia_;36857;10054
@Gacetinmadrid;2824;17691
@RTVCes;10304;112523
@abc_es;69906;2210335
@DuroBelinda;0;7238
@gorka_orive;291072;96381
@ideal_granada;1929;134213
@20m;19964;1485266
@rtve;7681;1249946
@NoticiasDeEs;17;1205
@NotGip;969;22888
@NoticiasNavarra;4597;110456
@larazon_es;4775;568955
@LaVanguardia;15870;1298919
@Manu_K_tala;1;5469
@NoticieroMAD;6332;2512
@mianrey;582451;146142
@publico_es;50333;1123260
@nauscopio;2469;2396
@quincemil15000;366;15691
@eldiarioeus;524;10826
@informativost5;13059;828153
@huelva_info;401;29509
@elperiodico;4255;719677
@ElHuffPost;53020;564584
@jose197312;24;520
@diariosevilla;1740;216266
@elprogreso_Lugo;1144;30815
@locuspolitikus;2;13059
@anadesdepucela;14;4653
@ideal_almeria;192;21974
@SanidadGobCan;26953;60556
@nikomer75;6727;2723
@juan3pueblo;124;3688
@937908Mcm;144;7142
@masanpra;13752;2297
@ArqueroPublico;18123;10558
@Mariaperezpere;4;3300
@diariomedico;1099;121957
@telemadrid;3159;130698
@valsurbio;20;3508
@ideal_jaen;350;23723
@isanidad;843;20882
@VilaWeb;3511;338772
@Diario_Pontev;296;19213
@didaclopez;68;3344
@drmiguelmarcos;24792;57604
@PedroCFernandez;856;5674
@malagahoy_es;1505;139536
@elmundoes;135502;4245920
@toni17lopez;18069;2828
@laprovincia_es;871;118757
@JuanRaeiros;112;14729
@deia_eus;678;56375
@laSextaTV;9590;1119368
@Farodevigo;2267;175942
@llemj;0;1648
@COPE;4726;503137
@Nba1Marisa;43;1050
@Juanjo3800;2;3859
@BECAES_;3032;18519
@lavozdegalicia;2504;397292
@CONTUNDENTEE;3;3329
@mire_palenzuela;120;5546
@elEconomistaes;2410;721412
@sanidadgob;29426;692805
@diariARA;1817;549047
@CanSaludable;1480;10910
@eldiacordoba;140;65794
@periodicoaragon;445;87400
@heraldoes;5243;176517
@mallorcadiario;175;21269
@caval100;1332;109986
@diariodejerez;56;17287
@rociogrande1;8;4348
@XavierAbadMdG;9881;11090
@TheObjective_es;4326;107586
@vivaDBSK;26;1047
@vilpetrus;267;6225
@noaylucky;26767;4247
@covidvacunacion;25;165
@MarvinHarris76;33;4346
@ProudandSweet;6462;6131
@Cahora;5277;96914
@_infoLibre;18386;368481
@laverdad_es;1457;186780
