Date;Twitter;News;Facebook;Instagram;Blogs;Forums;Web;Video;Reviews
01/05/2021;186275;112753;107014;5488;5231;601;450;5;1
01/06/2021;400244;162012;145581;7103;6904;925;140;11;1
01/07/2021;287228;161972;133343;6386;6144;69;19;6;0
01/08/2021;197073;116009;98436;5544;4211;76;3;3;1
01/09/2021;220105;97449;93961;5465;4211;118;10;11;0
01/10/2021;214533;70265;85285;3571;3145;70;2;17;0
01/11/2021;216132;79609;84631;3527;3300;48;6;23;0
01/12/2021;262389;97485;116602;4963;3694;18;4;18;0
01/01/2022;165970;111274;110201;4452;4249;34;3;11;0
01/02/2022;159647;89031;74147;3247;3650;26;1;21;0
01/03/2022;343789;59496;38602;2030;2554;59;4;35;0
01/04/2022;238867;56767;10846;699;2020;143;2;208;0
01/05/2022;47723;14905;2093;166;679;50;3;73;0
;;;;;;;;;
